name init coarse refined old_err coarse_err new_err delta improved mutated
2 0.031882 0.014429 0.021633 2.264078 2.247520 2.234847 -0.010249 1 0
2 0.086507 0.086507 0.093353 1.866504 1.866504 1.841971 0.006846 1 0
2 0.257078 0.257078 0.251399 1.554888 1.554888 1.532188 -0.005679 1 0
2 0.379699 0.379699 0.383488 1.352154 1.352154 1.334481 0.003789 1 0
2 0.495957 0.495957 0.499580 2.982805 2.982805 2.963263 0.003623 1 0
2 0.650623 0.650623 0.654278 3.014452 3.014452 2.991553 0.003654 1 0
2 -0.726920 -0.744373 -0.739392 5.511567 5.377234 5.352421 -0.012472 1 0
2 -0.589946 -0.607399 -0.603124 4.438672 4.316071 4.299241 -0.013179 1 0
2 -0.521964 -0.521964 -0.524170 3.130541 3.130541 3.125439 -0.002206 1 0
2 -0.301130 -0.318584 -0.315185 2.564302 2.511937 2.508063 -0.014054 1 0
2 -0.233980 -0.233980 -0.225981 1.329691 1.329691 1.312065 0.007998 1 0
2 0.006478 0.006478 -0.001555 4.177280 4.177280 4.169106 -0.008033 1 0
2 0.116472 0.116472 0.120902 2.796284 2.796284 2.787673 0.004430 1 0
2 0.245551 0.245551 0.245704 3.894952 3.894952 3.894998 0.000152 0 0
2 0.367153 0.367153 0.368383 5.102877 5.102877 5.101009 0.001230 1 0
2 -1.059945 -1.077398 -1.073045 7.507791 7.246349 7.199084 -0.013100 1 0
2 0.505572 0.505572 0.510607 5.468545 5.468545 5.432238 0.005035 1 0
2 -0.923734 -0.941187 -0.934924 6.731911 6.578039 6.490311 -0.011191 1 0
2 -0.798652 -0.816105 -0.810670 6.642298 6.486598 6.441517 -0.012018 1 0
2 0.740598 0.740598 0.744916 7.543659 7.543659 7.516551 0.004318 1 0
2 -0.652123 -0.669576 -0.670059 6.357203 6.118859 6.118596 -0.017936 1 0
2 -0.504849 -0.539756 -0.535910 7.811434 7.456840 7.449864 -0.031061 1 0
2 -0.365022 -0.417382 -0.409072 7.441220 6.995147 6.973051 -0.044050 1 0
2 -0.229802 -0.299615 -0.304797 7.626497 6.943833 6.938695 -0.074995 1 0
2 -0.156654 -0.226467 -0.234150 5.212443 4.257147 4.232726 -0.077496 1 0
2 -0.084144 -0.136504 -0.135832 3.915892 3.764512 3.764300 -0.051688 1 0
2 -0.033797 -0.051251 -0.043231 1.509022 1.502693 1.486072 -0.009434 1 0
2 0.141236 0.141236 0.136482 1.610973 1.610973 1.584025 -0.004754 1 0
2 0.276649 0.276649 0.276741 1.326251 1.326251 1.326242 0.000092 1 0
2 -1.046943 -1.081850 -1.073392 14.116407 13.637784 13.583375 -0.026450 1 0
2 0.419749 0.419749 0.419517 1.836265 1.836265 1.835556 -0.000232 1 0
2 -0.922169 -0.957075 -0.949124 12.463796 12.003127 11.954426 -0.026956 1 0
2 0.539900 0.539900 0.540155 3.800399 3.800399 3.800235 0.000255 1 0
2 -0.848514 -0.865967 -0.871861 13.909587 13.498791 13.465832 -0.023347 1 0
2 0.665230 0.665230 0.665952 3.638551 3.638551 3.633215 0.000723 1 0
2 -0.630864 -0.665771 -0.674088 13.275445 12.660520 12.634507 -0.043223 1 0
2 0.813891 0.813891 0.812054 4.169882 4.169882 4.122616 -0.001837 1 0
2 -0.525221 -0.577581 -0.573458 11.985347 11.341928 11.335534 -0.048237 1 0
