sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
2 183333333 3.00252 -0.172683 0.196689 3.00282 -0.172437 0.196686 0.478532 0.484727 3.23259 -0.0514329 0.259683 0.00371297 -0.000293633 ekf 1 0.223816
2 200000000 2.96013 -0.156962 0.193482 2.97421 -0.162012 0.194037 0.44836 0.465847 3.20904 -0.0439512 0.262835 -0.583166 0.213431 ekf 1 0.246478
2 216666666 2.94979 -0.142788 0.192854 2.95456 -0.14751 0.192786 0.398546 0.43806 3.1932 -0.0357308 0.263517 -0.795243 0.419147 ekf 1 0.23846
2 233333333 2.90932 -0.126716 0.190741 2.92028 -0.131024 0.190889 0.372654 0.411996 3.16284 -0.0250237 0.264711 -1.17226 0.543869 ekf 1 0.238358
2 250000000 2.94455 -0.1137 0.193064 2.94455 -0.1137 0.193064 0.280245 0.280245 3.16284 -0.0250237 0 -1.17226 0.543869 ekf 0 0.238358
2 266666666 2.902 -0.0977026 0.190009 2.90224 -0.0977089 0.190012 0.252135 0.254617 3.15422 -0.0321265 0.260377 -0.00401074 0.000964036 ekf 1 0.237782
2 283333333 2.91744 -0.0821122 0.191631 2.91744 -0.0821122 0.191631 0.158245 0.158245 3.15422 -0.0321265 0 -0.00401074 0.000964036 ekf 0 0.237782
2 299999999 2.89368 -0.0668872 0.190663 2.89398 -0.0669618 0.190664 0.202173 0.198151 3.14911 -0.0157363 0.260218 -0.00250293 0.0025353 ekf 1 0.269865
2 316666666 2.85845 -0.0503949 0.188359 2.87003 -0.0559281 0.188758 0.178969 0.187956 3.12622 -0.00720055 0.260783 -0.485654 0.233758 ekf 1 0.183452
2 333333333 2.87833 -0.0354211 0.189979 2.87833 -0.0354211 0.189979 0.0713465 0.0713465 3.12622 -0.00720055 0 -0.485654 0.233758 ekf 0 0.183452
2 350000000 2.83127 -0.0193155 0.187485 2.83147 -0.019359 0.187488 0.0572915 0.0585187 3.0915 -0.00412511 0.260473 -0.00460805 0.00127362 ekf 1 0.184692
2 366666666 2.88539 -0.00383774 0.191369 2.86784 -0.00889718 0.190697 0.0302866 0.0438761 3.12585 0.0024308 0.258264 0.72977 0.21098 ekf 1 0.18606
2 383333333 2.84803 0.0121157 0.189796 2.85856 0.00634139 0.190325 0.0245439 0.0355279 3.11831 0.0155737 0.259914 0.24738 0.473043 ekf 1 0.167244
2 399999999 2.83436 0.0278435 0.189198 2.84415 0.0229117 0.189659 0.0481304 0.0391533 3.10496 0.0331285 0.261008 -0.103214 0.654544 ekf 1 0.242666
2 416666666 2.85474 0.0438095 0.191163 2.85018 0.0405647 0.190851 -0.0309097 0.0134807 3.11071 0.044077 0.260553 0.0174324 0.690434 ekf 1 0.187503
2 433333333 2.89507 0.0600699 0.194523 2.87713 0.0574459 0.193617 -0.0335992 -0.00569248 3.13688 0.0559672 0.259755 0.359742 0.706755 ekf 1 0.181887
