t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
0.833333 2.903270 0.111751 0.137893 2.892910 0.108138 0.127737 -0.199118 -0.219695 3.211000 0.037109 0.325927 0.018743 0.040940 1 0.236639 0.019340 0.015809 0.024979 0.003400 0.015228 0.015603 -0.033334 0 -0.243260 0.394130 0.463156 1.371678 -0.039449 0.083211 -0.049809 0.079598
0.850000 2.879340 0.125593 0.136878 2.895140 0.123572 0.128434 -0.283143 -0.266157 3.209740 0.037805 0.326078 0.015898 0.041299 1 0.276636 -0.023930 0.013842 0.027645 0.002230 0.015434 0.015594 -0.084025 0 -0.239302 0.400882 0.466874 1.287653 -0.063379 0.097053 -0.047579 0.095032
0.866667 2.898970 0.140920 0.138914 2.899320 0.138696 0.129367 -0.322568 -0.311746 3.209830 0.038634 0.326233 0.015484 0.041849 1 0.268637 0.019630 0.015327 0.024905 0.004180 0.015124 0.015691 -0.039425 0 -0.207443 0.411693 0.461003 1.248228 -0.043749 0.112380 -0.043399 0.110156
0.883333 2.918460 0.156108 0.140926 2.905280 0.153550 0.130497 -0.365039 -0.356967 3.211090 0.039503 0.326378 0.017079 0.042413 1 0.276673 0.019490 0.015188 0.024709 0.005960 0.014854 0.016005 -0.042471 0 -0.176118 0.421478 0.456794 1.205757 -0.024259 0.127568 -0.037439 0.125010
0.900000 2.910190 0.169432 0.141097 2.910850 0.168098 0.131606 -0.416608 -0.403061 3.211120 0.040064 0.326422 0.016627 0.042315 1 0.270344 -0.008270 0.013324 0.015682 0.005570 0.014548 0.015578 -0.051569 0 -0.168840 0.427871 0.459978 1.154188 -0.032529 0.140892 -0.031869 0.139558
0.916667 2.904330 0.182671 0.142095 2.916290 0.182361 0.132844 -0.471334 -0.450369 3.210120 0.040294 0.326368 0.014565 0.041565 1 0.272910 -0.005860 0.013239 0.014478 0.005440 0.014263 0.015265 -0.054726 0 -0.157594 0.433159 0.460937 1.099462 -0.038389 0.154131 -0.026429 0.153821
0.933333 2.882560 0.193870 0.142005 2.920670 0.196178 0.134086 -0.536403 -0.500132 3.206820 0.039807 0.326085 0.008999 0.039398 1 0.287836 -0.021770 0.011199 0.024482 0.004380 0.013817 0.014495 -0.065069 0 -0.157615 0.434350 0.462064 1.034393 -0.060159 0.165330 -0.022049 0.167638
0.950000 2.947110 0.210858 0.145866 2.929480 0.209523 0.135520 -0.552199 -0.545543 3.208220 0.040332 0.326067 0.011017 0.039169 1 0.276182 0.064550 0.016988 0.066748 0.008810 0.013345 0.015991 -0.015796 0 -0.090068 0.448131 0.457092 1.018597 0.004391 0.182318 -0.013239 0.180983
0.966667 2.917530 0.220674 0.145257 2.936440 0.222422 0.136886 -0.616649 -0.593508 3.206540 0.040195 0.325830 0.008210 0.037674 1 0.271016 -0.029580 0.009816 0.031166 0.006960 0.012899 0.014657 -0.064450 0 -0.100581 0.446298 0.457492 0.954147 -0.025189 0.192134 -0.006279 0.193882
0.983333 2.968780 0.235674 0.149713 2.946850 0.234842 0.138628 -0.650088 -0.639664 3.208160 0.040422 0.325703 0.010621 0.036818 1 0.269816 0.051250 0.015000 0.053400 0.010410 0.012420 0.016206 -0.033439 0 -0.042246 0.454522 0.456481 0.920708 0.026061 0.207134 0.004131 0.206302
1.000000 3.032000 0.251703 0.154267 2.961220 0.246941 0.140628 -0.681001 -0.683876 3.213730 0.041120 0.325767 0.018984 0.036819 1 0.275562 0.063220 0.016029 0.065220 0.014370 0.012099 0.018785 -0.030913 0 0.023363 0.463685 0.464273 0.889795 0.089281 0.223163 0.018501 0.218401
1.016667 3.042810 0.263078 0.154780 2.975990 0.258617 0.142445 -0.730638 -0.728804 3.219020 0.041647 0.325791 0.026639 0.036477 1 0.267047 0.010810 0.011375 0.015692 0.014770 0.011676 0.018828 -0.049637 0 0.041205 0.464064 0.465889 0.840158 0.100091 0.234538 0.033271 0.230077
1.033333 3.064380 0.274805 0.157377 2.991730 0.269841 0.144425 -0.775515 -0.773743 3.224800 0.042147 0.325828 0.034763 0.036061 1 0.277595 0.021570 0.011727 0.024552 0.015740 0.011224 0.019332 -0.044877 0 0.067687 0.465319 0.470216 0.795281 0.121661 0.246265 0.049011 0.241301
1.050000 3.084880 0.285577 0.159719 3.008360 0.280533 0.146506 -0.823057 -0.819047 3.230890 0.042507 0.325842 0.043106 0.035335 1 0.248142 0.020500 0.010772 0.023158 0.016630 0.010692 0.019771 -0.047542 0 0.092906 0.464637 0.473834 0.747739 0.142161 0.257037 0.065641 0.251993
1.066667 3.006330 -0.179040 0.199388 2.976180 -0.171401 0.156178 0.509331 0.680478 3.231790 0.035501 0.328852 0.041570 0.020353 1 0.270020 -0.078550 -0.464617 0.471210 -0.032180 -0.451934 0.453078 1.332388 1 -0.385806 0.072570 0.392572 2.080127 0.063611 -0.207580 0.033461 -0.199941
1.083333 3.010780 -0.166196 0.199677 2.963110 -0.159118 0.164221 0.453911 0.610563 3.233830 0.030321 0.330419 0.042696 0.009721 1 0.228549 0.004450 0.012844 0.013593 -0.013070 0.012283 0.017936 -0.055420 0 -0.367933 0.100444 0.381397 2.024707 0.068061 -0.194736 0.020391 -0.187658
1.100000 2.971540 -0.150395 0.197397 2.951120 -0.145651 0.170816 0.421888 0.544981 3.234650 0.026232 0.331563 0.042186 0.001557 1 0.264982 -0.039240 0.015801 0.042302 -0.011990 0.013467 0.018031 -0.032023 0 -0.398880 0.125863 0.418266 1.992684 0.028821 -0.178935 0.008401 -0.174191
